ID, tic_id, best_period, duration, depth, vshape, snr, oot_variability
000,449671297,6.477857094395037 d,0.028 d,-0.9871897399425507,2.0,-7.343540604777315,0.13442966997422712
001,166009757,7.65124821446061 d,0.059000000000000004 d,-0.9879806041717529,2.0,-12.594185021683522,0.07844736300687483
002,411339897,1.018160669230082 d,0.05 d,-0.9924594163894653,1.9999915942294526,-5.571627963062309,0.17812736653794525
003,250326099,4.9955497984808765 d,0.01 d,-0.9538373947143555,2.0,-7.999911855409631,0.11923098803511939
004,458423175,8.67853675442862 d,0.028 d,-0.9824657440185547,2.0,-9.857919219816653,0.09966258823094998
010,125552142,7.4894584414162395 d,0.01 d,-0.9562846720218658,2.0,-7.268087959038275,0.13157307360771167
011,1167487178,5.640835429148233 d,0.012 d,-0.8930844068527222,2.0,-3.128181757202145,0.28549632859297136
012,414670123,4.622484115621225 d,0.015 d,-0.871539443731308,1.99998749054644,-2.849621738674258,0.3058439061939421
000,301149358,9.570788704966574 d,0.067 d,-0.9516498446464539,2.0,-6.5575871375307315,0.14512195182278567
013,2026216399,7.281777768240097 d,0.1 d,-0.7875324487686157,2.0,-2.6241556343030465,0.3001088954000922
014,2028244270,1.858550651691658 d,0.017 d,-0.9560665488243103,2.0,-3.7087786046732365,0.25778474552771125
020,391226933,2.008548239711366 d,0.011 d,-0.8788661360740662,1.9999488016789675,-1.7312024124017462,0.5076622639722355
021,1990094034,9.581560544054659 d,0.089 d,-0.9822795391082764,2.0,-20.616779574670854,0.047644664170299174
022,277888348,7.27359140464786 d,0.016 d,-0.9909091591835022,2.0,-22.706848330947523,0.043639220412327165
023,285138077,5.097727879080436 d,0.025 d,-0.9840431213378906,1.9998639260424005,-3.354552902418482,0.29334553663721913
024,70667234,5.046380235282575 d,0.023 d,-0.9754283130168915,1.9999996921199243,-5.5723923747108275,0.17504659532657374
030,288344719,2.898275840593496 d,0.026000000000000002 d,-0.9958454668521881,2.0,-5.834898081085515,0.1706705846465998
031,157979698,9.955106737874349 d,0.026000000000000002 d,-0.9194654226303101,2.0,-6.403669255907862,0.14358415244229467
032,1981843319,7.93167524796192 d,0.016 d,-0.9528085291385651,2.0,-5.882282811745615,0.1619793810722629
033,2024418048,4.813512896387454 d,0.011 d,-0.94809290766716,2.0,-8.111913950222023,0.11687659823378806
034,293808242,6.405398667724416 d,0.013000000000000001 d,-0.8892742991447449,2.0,-2.918631588636374,0.3046887803884239
040,97173520,9.201307313624495 d,0.01 d,-0.95229572057724,2.0,-6.260537814359053,0.15211084875057734
041,61413837,5.13224957547697 d,0.025 d,-0.9633281230926514,2.0,-4.05452717131973,0.23759320936529635
042,160119816,2.6818337472896827 d,0.1 d,-0.9907057881355286,2.0,-6.8740951653593525,0.1441216282730555
043,828111555,6.284074552894313 d,0.022 d,-0.308618426322937,2.000000314843335,-0.16825228678749457,1.8342599213092847
044,72321135,5.762690632832356 d,0.034 d,-0.985488086938858,2.0,-11.972050924130587,0.08231572795539412
100,157145180,7.985388371008307 d,0.01 d,-0.9692830741405487,1.968253998674263,-12.0321317679075,0.08055788390930463
101,205037919,9.538545793146955 d,0.034 d,-0.9135466516017914,2.0,-2.9815319493385197,0.30640176497336213
102,434105262,1.3457649815910278 d,0.034 d,-0.9999999029395008,2.0,-7.031836518820805,0.14221034579842515
103,47481377,6.44152599949322 d,0.029 d,-0.9841435551643372,2.0,-9.712510346283532,0.10132741382776671
104,870856230,9.711772168232287 d,0.027 d,-0.9689086377620697,2.0,-3.6437180366033397,0.26591207882410206
110,321258095,3.142773924663301 d,0.029 d,-0.9733027815818787,2.0,-6.442567121695898,0.15107375106798623
111,291404786,6.055084049290317 d,0.017 d,-0.958545982837677,2.0,-19.975630771249968,0.04798576794967944
112,1908147782,7.25724627708414 d,0.028 d,-0.9076507091522217,1.9999840756609142,-1.896569709654147,0.47857492636942844
113,72511763,8.87599201343534 d,0.028 d,-0.9424096941947937,2.0,-4.668591941612094,0.20186165464471365
114,308730878,1.4252259863052292 d,0.024 d,-0.9243213534355164,1.9999981750968852,-1.6986683176081288,0.5441446949084447
120,323601363,6.677615324610845 d,0.019 d,-0.9848442375659943,2.0,-7.1186207606410035,0.1383476196697003
121,325219117,7.25724627708414 d,0.015 d,-0.9627079963684082,2.0,-6.1200426417706515,0.157304132130994
122,237313550,6.391004532489719 d,0.01 d,-0.9553951621055603,2.0,-6.362871508067063,0.1501515724298814
123,1547145135,8.766842112561843 d,0.042 d,-0.8610697388648987,2.0,-1.2655924169466257,0.6803689144585108
124,313894558,7.994375855868747 d,0.01 d,-0.9539133906364441,2.0,-7.457562740137096,0.12791221795593072
130,160056476,3.4464482643473855 d,0.015 d,-0.9446117281913757,2.0,-4.050216552255627,0.23322499328222518
131,138801111,6.248830288375289 d,0.021 d,-0.9540147483348846,1.9999259630483612,-13.300900343231863,0.07172557674415876
132,115073581,6.463300131451014 d,0.019 d,-0.9136365950107574,1.999952287338446,-3.2060285052839985,0.28497457009660154
133,456645161,5.006801021822285 d,0.02 d,-0.9810027778148651,2.0,-6.3913820495339815,0.15348836452147208
134,451788628,8.39055934691322 d,0.02 d,-0.9441106915473938,2.0,-3.4584399578020966,0.272987446093294
140,900689200,3.0521904332591205 d,0.042 d,-0.9793961644172668,2.0,-9.831054609636885,0.09962269596765483
141,414670123,4.622484115621225 d,0.015 d,-0.871539443731308,1.99998749054644,-2.849621738674258,0.3058439061939421
142,439180496,9.86592393033729 d,0.023 d,-0.8941092491149902,2.0,-1.9078184365770279,0.46865531434908675
143,359113075,7.008543091687779 d,0.014 d,-0.941067099571228,2.0,-4.296520177465774,0.2190300663562343
144,173989338,7.2327974297656485 d,0.024 d,-0.9716982245445251,2.0,-6.68010986834489,0.14546141361373743
200,18020959,8.167073022889523 d,0.018000000000000002 d,-0.9767679572105408,2.0,-13.988254102010972,0.06982772475302113
201,185053274,7.087824340524919 d,0.083 d,-0.9796028137207031,2.0,-12.848162710924038,0.0762445834288668
202,344130696,6.206797994568005 d,0.022 d,-0.9804273247718811,2.0,-8.45708984560962,0.11592963332189929
203,164637295,7.119787388676796 d,0.039 d,-0.9450579583644867,2.0,-2.922235362064828,0.32340240989237645
204,48011814,9.843753344143478 d,0.01 d,-0.9353283047676086,2.0,-6.64906750220798,0.14067059846467356
210,46199750,2.678818760174173 d,0.015 d,-0.918278157711029,1.9999856087216774,-5.106327236491943,0.17983143562532197
211,254757058,9.389509204955607 d,0.021 d,-0.8418766260147095,2.0,-2.146268066467399,0.39225138703217866
212,263638925,9.149701734131035 d,0.016 d,-0.9593714475631714,2.0,-6.242908606127679,0.1536737934336421
213,345644126,6.798885287766829 d,0.01 d,-0.9759725630283356,2.0,-14.62425947200394,0.06673654586727594
214,1920376931,7.2327974297656485 d,0.01 d,-0.8032497763633728,1.9999988361882781,-1.4305255639604524,0.5615067612909705
220,316271332,7.860619348139746 d,0.016 d,-0.987136960029602,1.999911704887189,-9.561865870308965,0.10323685496308949
221,134765602,8.30604415449227 d,0.012 d,-0.9724816679954529,2.0,-10.567103307798645,0.09202916254994405
222,1510180735,3.7667329105288045 d,0.019 d,-0.9426869750022888,2.0,-3.790150596584209,0.24872018960192901
223,1361678528,1.273596197610149 d,0.057 d,-0.9278286695480347,2.0,-2.239729184150345,0.41425931139974503
224,316271332,7.860619348139746 d,0.016 d,-0.987136960029602,1.999911704887189,-9.561864799153478,0.1032368665280641
230,1107885,9.357877003403837 d,0.01 d,-0.9729846119880676,2.0,-10.530676873264653,0.09239525850976274
231,416036999,6.75315308977306 d,0.022 d,-0.9741135537624359,2.0,-4.652934374567125,0.2093546728462209
232,164637295,7.119787388676796 d,0.039 d,-0.9450579583644867,2.0,-2.922235362064828,0.32340240989237645
233,1859153737,2.997749299790908 d,0.1 d,-0.9248687028884888,2.0,-1.6958867272102247,0.5453599512568392
234,158063848,5.628159411273976 d,0.022 d,-0.9049800038337708,2.0,-3.0897319038054913,0.2928992003219261
240,138738430,3.917987256151564 d,0.01 d,-0.9868556261062622,2.0,-23.903447992962604,0.0412850742870569
241,122996150,6.969235641634904 d,0.011 d,-0.974967360496521,2.0,-8.790316076850093,0.11091380013787731
242,421990667,9.222030951220905 d,0.035 d,-0.971136063337326,2.0,-14.247762110181055,0.06816060345669157
243,288470165,7.540176882380895 d,0.01 d,-0.9893870949745178,2.0,-9.702180903014938,0.1019757418321346
244,451889662,9.910415016247127 d,0.015 d,-0.8445173501968384,2.0,-1.7142386818229358,0.4926486370607222
300,208712116,9.129140633885733 d,0.015 d,-0.9415460228919983,2.0,-3.9697053925617127,0.23718284602586187
301,375175796,6.241805191153847 d,0.01 d,-0.9795308709144592,2.0,-6.31857480012663,0.155024020748291
302,313894558,7.994375855868747 d,0.01 d,-0.9539133906364441,2.0,-7.457562740137096,0.12791221795593072
303,157444846,7.184146553907803 d,0.014 d,-0.9818785190582275,1.999998209939634,-7.9209013030365645,0.12396045367738816
304,57103541,5.907078476866371 d,0.025 d,-0.9914430379867554,2.0,-20.165286258772756,0.04916583009355672
310,335501964,7.790200002480684 d,0.015 d,-0.9402642846107483,2.0,-4.742196833988882,0.19827609808845667
311,188395799,1.1291720945037094 d,0.011 d,-0.9676448106765747,1.9999910886123644,-5.755957466005272,0.16811187650212708
312,340803443,7.200327042674028 d,0.017 d,-0.945271909236908,2.0,-3.11784909989468,0.30318077589734505
313,162618409,6.992793577521192 d,0.035 d,-0.9858739376068115,2.0,-6.141078338586649,0.1605375934405858
314,409732714,5.27269004764869 d,0.011 d,-0.9787123799324036,2.0,-14.659155124676314,0.06676458306146851
320,100603346,5.410883674229086 d,0.013000000000000001 d,-0.9863593578338623,2.0,-20.22456613886867,0.04877035932742326
321,162334232,9.76654790248169 d,0.011 d,-0.9770254492759705,2.0,-13.90236073850384,0.07027766489830828
322,135101534,1.1028113351116062 d,0.032 d,-0.9863881170749664,1.9999945401220993,-6.336218651252237,0.1556745704916646
323,287286376,8.268755612746787 d,0.02 d,-0.9927845597267151,2.0,-32.683575254369615,0.030375641342786856
324,43274413,9.988757740413416 d,0.01 d,-0.9408172965049744,2.0,-5.572129648787515,0.16884339665529757
330,24198408,7.1037878876572425 d,0.03 d,-0.9625354409217834,1.9999964126697074,-2.90827378514868,0.33096452123491377
331,286924740,1.8274546350557574 d,0.014 d,-0.9888962507247925,2.0,-6.439606751979581,0.1535646956113894
332,388079618,4.330532277217997 d,0.015 d,-0.9793702065944672,2.0,-4.499371089147189,0.2176682445590628
333,18747353,8.649299739181263 d,0.02 d,-0.9490276575088501,2.0,-5.245527205443683,0.1809213107357392
334,178925140,2.1633389644771293 d,0.01 d,-0.9611914753913879,2.0,-6.086705665707048,0.15791653616615833
340,24055062,8.58146250443117 d,0.01 d,-0.9091889262199402,2.0,-5.55045188107154,0.1638044875806431
341,270093857,4.369678030757062 d,0.025 d,-0.9545035362243652,2.0,-3.136545095694278,0.3043168540872149
342,48011814,9.843753344143478 d,0.01 d,-0.9353283047676086,2.0,-6.64906750220798,0.14067059846467356
343,202362742,9.810590845123457 d,0.094 d,-0.9726633727550507,2.0,-19.69417554599914,0.04938837731405551
344,284021737,3.185483637269296 d,0.011 d,-0.9779070019721985,2.0,-13.128900942926897,0.07448506209493788
400,459831133,4.3402857153386565 d,0.021 d,-0.9815557599067688,2.0,-13.118211355498236,0.07482390192588026
401,17970505,6.829545344702705 d,0.026000000000000002 d,-0.9643140435218811,2.0,-6.478714794570085,0.14884341634085949
402,177500431,7.4894584414162395 d,0.014 d,-0.9417113661766052,1.999907295059706,-5.815322944200767,0.16193621149031992
403,404156391,1.1718750007674614 d,0.097 d,0.3071401119232178,1.9999147591529476,1.3964223210828215,0.21994786769453348
404,85336166,9.527822312358445 d,0.012 d,-0.9570145905017853,2.0,-9.625323272378333,0.09942674790446963
410,430591603,8.89598295988734 d,0.035 d,-0.9759904146194458,2.0,-6.209487533891423,0.15717728867196912
411,168071263,6.116695399294278 d,0.01 d,-0.9662020206451416,2.0,-8.671895499122252,0.11141762729301088
412,158571010,5.260841321670255 d,0.049 d,-0.9784986674785614,2.0,-7.50425530050971,0.13039250775651237
413,158571010,5.260841321670255 d,0.049 d,-0.9784986674785614,2.0,-7.50425530050971,0.13039250775651237
414,229554602,7.8694664065547855 d,0.046 d,-0.9718883633613586,2.0,-9.319431731845606,0.10428622595520504
420,388754258,9.006740704326777 d,0.042 d,-0.9496572017669678,2.0000019520797334,-8.112909126630319,0.11705507690820223
421,305557277,8.885981864916051 d,0.029 d,-0.9654003083705902,2.0,-4.288564457148997,0.22511036455597092
422,124334450,1.8315705184068867 d,0.015 d,-0.9905765652656555,2.0,-12.560457284922283,0.07886468962039742
423,287150240,7.772693958258012 d,0.017 d,-0.9960002601146698,2.0,-7.3245430796888344,0.1359812140195621
424,117892271,2.0892021264788876 d,0.037 d,-0.9835787117481232,2.0,-18.4095236554179,0.05342771112161054
430,5392904,7.224666131141388 d,0.03 d,-0.9745708405971527,2.000000320416305,-7.163164283029701,0.13605311871821993
431,76392634,7.143854230931982 d,0.015 d,-0.9242416620254517,2.0,-2.7840643838321575,0.3319756782180693
432,421809465,8.846089793605502 d,0.012 d,-0.9531108438968658,1.9999738516116754,-10.801488619985925,0.0882388416475606
433,2026216399,7.281777768240097 d,0.1 d,-0.7875324487686157,2.0,-2.6241556343030465,0.3001088954000922
434,385331518,8.55255252142526 d,0.031 d,-0.9789363741874695,2.0,-8.903084230012166,0.10995474701761099
440,321442827,7.249087492431064 d,0.019 d,-0.9708760976791382,2.0,-6.32669938944524,0.15345696672404566
441,141822426,4.701140428178148 d,0.027 d,-0.9987955093383789,2.0,-47.09286339773856,0.02120906305702239
442,334129633,1.0686184480050973 d,0.023 d,-0.9673949480056763,1.999998164269814,-2.6721750880645585,0.3620252850670631
443,284021737,3.185483637269296 d,0.011 d,-0.9779070019721985,2.0,-13.128900942926897,0.07448506209493788
444,892149,6.427050679350898 d,0.1 d,-0.9988027811050415,2.0,-56.29573850129788,0.01774206729843351
